"Reference","M","MPN","Value","Qty"
"C1,C2,C8,C9,C11,C13,C15,C16,C18,C20,C21,C23,C25,C26,C27,C28,C29,C30,C31,C32,C35,C39,C41,C50,C52,C56,C64,C68,C70,C74,C82,C86,C88,C100,C103,C105,C108,C110,C113,C115,C118,C119,C120,C126,C127,C129,C131,C132,C133,C134,C135,C141,C142,C144,C146,C148,C149,C150,C156,C157,C159,C161,C163","MURATA","GCM155R71H104KE02J","0.1uF","63"
"C3,C4,C121,C122,C136,C137,C151,C152","MURATA","GCM1885C2A301FA16J","300pF","8"
"C5,C6,C123,C124,C138,C139,C153,C154","KEMET","C0402C820J3GACAUTO","82pF","8"
"C7,C125,C140,C155","MURATA","GRM21BZ71C106KE15L","10uF","4"
"C10,C12,C17,C24,C38,C40,C43,C51,C54,C69,C72,C87,C91,C128,C130,C143,C145,C158,C160","TAIYO","GMK316AB7106KL-TR","10uF","19"
"C19,C22","MURATA","GCM21BR71H105KA03L","1uF","2"
"C33","WURTH","885342207015","100pF","1"
"C34","TDK","CGA3E1X7R1V105K080DC","1uF","1"
"C36","MURATA","GRM1885C1H272JA01D","2.7nF","1"
"C37","MURATA","GRM1885C1H432JA01D","4.3nF","1"
"C44","MURATA","GCM155R71H103KA55D","10nF","1"
"C45","TAIYO","UMK107AB7105KA-T","1uF","1"
"C46","MURATA","GCM1885C2A221FA16D","220p","1"
"C47","MURATA","GCM1885C2A470FA16D","47pF","1"
"C48,C49,C57,C58,C60,C62,C77,C78,C79,C80,C95,C96,C97,C98","TAIYO YUDEN","TMK325ABJ476MM-P","47u","14"
"C55","MURATA","GRT188R61E475KE13D","4.7u","1"
"C59,C75","MURATA","GCM1885C2A102JA16D","1nF","2"
"C61","KEMET","CBR06C519C5GACAUTO","5.1pF","1"
"C63,C65,C66,C81,C83,C84,C99,C101,C102,C104,C106,C107,C109,C111,C112,C114,C116,C117","MURATA","GRM31CZ72A475KE11L","4.7uF","18"
"C67,C85","TAIYO","HMK107B7104KAHT","0.1uF","2"
"C73","KYOCERA","12101C475K4Z2A","4.7uF","1"
"C76","MURATA","GCM1885C2A270JA16D","27pF","1"
"C90","KYOCERA","KGM15ACG1E151FT","150pF","1"
"C92","MURATA","GCM1885C1H302GA16D","3nF","1"
"C93,C94","TAIYO","GMK107AB7105KAHT","1uF","2"
"D1","NEXPERIA","PRTR5V0U2X,215","﻿PRTR5V0U2X,215","1"
"D2","DIODES","B520C-13-F","20V","1"
"D3","DIODES","B560CX-13","B560CX","1"
"J1","GCT","USB4105-GF-A","USB4105-GF-A","1"
"J2","TAOGLAS","TMJG4820GENL","TMJG4820GENL","1"
